,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Cal State Fullerton,0.3170731707317073,0.37373737373737376,0.5845070422535211,0.16666666666666666,0.3125,0.36923076923076925,0.359375,0.3153153153153153,0.5666666666666667,0.38461538461538464,0.3333333333333333,0.22950819672131148
Cal State L.A.,0.42424242424242425,0.0,0.375,0.0,0.3333333333333333,0.0,0.3333333333333333,0.125,0.6842105263157895,1.0,0.0,1.0
Cal State Northridge,0.2857142857142857,0.4117647058823529,0.45,0.3333333333333333,0.0,0.3076923076923077,0.6,0.4,0.5806451612903226,0.0,0.0,1.0
California,0.29455445544554454,0.31058823529411766,0.6045694200351494,0.26666666666666666,0.18518518518518517,0.25,0.40939597315436244,0.3871951219512195,0.6673819742489271,0.41935483870967744,0.38271604938271603,0.3372093023255814
Campbell,0.2753623188405797,0.2692307692307692,0.5606060606060606,0.0,0.6666666666666666,0.29411764705882354,0.34285714285714286,0.5277777777777778,0.6507936507936508,0.14285714285714285,0.25,0.11764705882352941
Canisius,0.1956521739130435,0.48484848484848486,0.8695652173913043,0.0,0.6666666666666666,0.125,0.2903225806451613,0.6086956521739131,0.6428571428571429,0.0,0.6666666666666666,0.25
Central Arkansas,0.45454545454545453,0.41,0.6447368421052632,0.7272727272727273,0.3,0.35135135135135137,0.390625,0.42028985507246375,0.7,0.5,0.5,0.3409090909090909
Central Connecticut State,0.3870967741935484,0.3103448275862069,0.5901639344262295,0.4,0.16666666666666666,0.34210526315789475,0.3287671232876712,0.42857142857142855,0.6063829787234043,0.6363636363636364,0.6,0.3333333333333333
Central Michigan,0.3382352941176471,0.3939393939393939,0.5581395348837209,0.16666666666666666,0.6,0.4,0.35135135135135137,0.40540540540540543,0.6415094339622641,0.2222222222222222,0.45454545454545453,0.25
Chaminade University,0.2857142857142857,0.3939393939393939,0.5,0.0,0.0,0.4444444444444444,0.3888888888888889,0.5625,0.7575757575757576,0.625,1.0,0.6363636363636364
Charleston,0.2978723404255319,0.41509433962264153,0.6292134831460674,0.5454545454545454,0.4,0.4230769230769231,0.3673469387755102,0.3770491803278688,0.6951219512195121,0.2857142857142857,0.18181818181818182,0.3076923076923077
Charleston Southern,0.375,0.4189189189189189,0.6571428571428571,0.2,0.36363636363636365,0.27906976744186046,0.3194444444444444,0.5185185185185185,0.7560975609756098,0.5,0.125,0.4074074074074074
Charlotte,0.28125,0.2777777777777778,0.6774193548387096,1.0,0.0,0.0,0.28846153846153844,0.3333333333333333,0.782608695652174,1.0,1.0,0.5
Chattanooga,0.3953488372093023,0.47058823529411764,0.5909090909090909,0.0,1.0,0.4,0.3103448275862069,0.6818181818181818,0.7586206896551724,0.0,0.0,0.1111111111111111
Chicago State,0.21621621621621623,0.2616822429906542,0.5140845070422535,0.4,0.3333333333333333,0.3194444444444444,0.4409937888198758,0.5,0.7241379310344828,0.3125,0.4666666666666667,0.45652173913043476
Cincinnati,0.3659305993690852,0.42745098039215684,0.6490299823633157,0.1794871794871795,0.34782608695652173,0.34050179211469533,0.31699346405228757,0.3207070707070707,0.52,0.26229508196721313,0.32432432432432434,0.3274021352313167
Citadel,0.34210526315789475,0.29545454545454547,0.5333333333333333,0.25,0.4,0.3,0.42528735632183906,0.4146341463414634,0.7395833333333334,0.3076923076923077,0.14285714285714285,0.3181818181818182
Clemson,0.36271186440677966,0.37640449438202245,0.6447105788423154,0.3055555555555556,0.45,0.3761467889908257,0.3642611683848797,0.361323155216285,0.5652173913043478,0.42,0.3,0.3415492957746479
Cleveland State,0.2975206611570248,0.3076923076923077,0.5740740740740741,0.5384615384615384,0.5,0.2857142857142857,0.33620689655172414,0.32142857142857145,0.6984126984126984,0.25,0.35714285714285715,0.34146341463414637
Coastal Carolina,0.42105263157894735,0.24,0.575,0.25,0.0,0.6363636363636364,0.3023255813953488,0.42105263157894735,0.6785714285714286,1.0,0.3333333333333333,0.2777777777777778
Colgate,0.3523809523809524,0.35,0.5185185185185185,0.45454545454545453,0.13333333333333333,0.3548387096774194,0.36666666666666664,0.5666666666666667,0.5614035087719298,0.0,0.4444444444444444,0.41025641025641024
Colorado,0.36285097192224625,0.4098360655737705,0.5610328638497653,0.3333333333333333,0.42857142857142855,0.3684210526315789,0.35687732342007433,0.38315217391304346,0.5807860262008734,0.3157894736842105,0.35714285714285715,0.3558282208588957
Colorado State,0.34012219959266804,0.3486005089058524,0.6358839050131926,0.2857142857142857,0.391304347826087,0.3643724696356275,0.35398230088495575,0.4766355140186916,0.6801075268817204,0.391304347826087,0.3484848484848485,0.3492063492063492
Columbia,0.33695652173913043,0.2765957446808511,0.65,0.4,0.5,0.32432432432432434,0.3218390804597701,0.45454545454545453,0.6379310344827587,0.625,0.125,0.375
Connecticut,0.30988593155893535,0.4332493702770781,0.5842696629213483,0.46153846153846156,0.3235294117647059,0.35060975609756095,0.3617021276595745,0.3792134831460674,0.6097087378640776,0.39622641509433965,0.38666666666666666,0.3489583333333333
Coppin State,0.25510204081632654,0.21818181818181817,0.49230769230769234,0.3333333333333333,0.2903225806451613,0.22413793103448276,0.34234234234234234,0.45569620253164556,0.6129032258064516,0.23529411764705882,0.1111111111111111,0.2
Cornell,0.2765957446808511,0.4727272727272727,0.48,0.15384615384615385,0.5,0.21052631578947367,0.41509433962264153,0.4107142857142857,0.6666666666666666,0.0,0.1111111111111111,0.4
Creighton,0.36363636363636365,0.47266881028938906,0.725328947368421,0.4473684210526316,0.38823529411764707,0.3684210526315789,0.3343465045592705,0.4232456140350877,0.6268115942028986,0.2903225806451613,0.3442622950819672,0.36212624584717606
Dartmouth,0.44680851063829785,0.3333333333333333,0.6785714285714286,0.6666666666666666,0.25,0.5333333333333333,0.42857142857142855,0.6818181818181818,0.7647058823529411,0.5714285714285714,0.25,0.375
Davidson,0.39078498293515357,0.4671814671814672,0.6530054644808743,0.4406779661016949,0.4375,0.3157894736842105,0.34177215189873417,0.4342105263157895,0.6494252873563219,0.46,0.3888888888888889,0.36538461538461536
Dayton,0.34615384615384615,0.4011299435028249,0.7094240837696335,0.4,0.3148148148148148,0.3055555555555556,0.40331491712707185,0.4642857142857143,0.6590909090909091,0.3684210526315789,0.2391304347826087,0.35
DePaul,0.3147410358565737,0.3840749414519906,0.6259541984732825,0.3137254901960784,0.3269230769230769,0.37992831541218636,0.3595317725752508,0.4322916666666667,0.6393034825870647,0.47692307692307695,0.4166666666666667,0.3300970873786408
Delaware,0.2826086956521739,0.5,0.5869565217391305,0.0,0.42857142857142855,0.4117647058823529,0.30158730158730157,0.4838709677419355,0.8125,0.6666666666666666,0.5,0.42105263157894735
Delaware State,0.21428571428571427,0.45454545454545453,0.8181818181818182,0.0,1.0,0.3076923076923077,0.1875,0.5,0.6666666666666666,0.0,0.3333333333333333,0.36363636363636365
Denver,0.2916666666666667,0.41818181818181815,0.6304347826086957,0.14285714285714285,0.6,0.2727272727272727,0.49122807017543857,0.40816326530612246,0.6756756756756757,0.3333333333333333,0.125,0.5882352941176471
Detroit,0.34782608695652173,0.31666666666666665,0.64,0.0,0.25,0.4166666666666667,0.5,0.4782608695652174,0.7325581395348837,0.0,0.38461538461538464,0.2
Drake,0.3516949152542373,0.39655172413793105,0.6363636363636364,0.3076923076923077,0.27586206896551724,0.3490566037735849,0.3212669683257919,0.4523809523809524,0.6836158192090396,0.3333333333333333,0.3333333333333333,0.4
Drexel,0.2826086956521739,0.3793103448275862,0.5957446808510638,0.0,0.125,0.13333333333333333,0.30612244897959184,0.0967741935483871,0.5692307692307692,0.6,0.25,0.37037037037037035
Duke,0.36728395061728397,0.4309090909090909,0.7034574468085106,0.3787878787878788,0.3893805309734513,0.33121019108280253,0.30484330484330485,0.35181644359464626,0.5913818722139673,0.3333333333333333,0.43956043956043955,0.32550335570469796
Duquesne,0.3137254901960784,0.43455497382198954,0.6150442477876106,0.4666666666666667,0.4375,0.3373493975903614,0.3870967741935484,0.35294117647058826,0.6704545454545454,0.391304347826087,0.1935483870967742,0.4230769230769231
East Carolina,0.30029154518950435,0.4160839160839161,0.6334519572953736,0.43902439024390244,0.4375,0.37267080745341613,0.366120218579235,0.43478260869565216,0.6666666666666666,0.5,0.5294117647058824,0.389937106918239
East Tennessee State,0.25842696629213485,0.4307692307692308,0.59,0.4444444444444444,0.5,0.1935483870967742,0.29523809523809524,0.391304347826087,0.6527777777777778,0.3333333333333333,0.25,0.35714285714285715
Eastern Illinois,0.3469387755102041,0.4909090909090909,0.75,0.5555555555555556,0.0,0.391304347826087,0.40384615384615385,0.40425531914893614,0.5405405405405406,0.5,0.6,0.3076923076923077
Eastern Kentucky,0.3125,0.5,0.5789473684210527,1.0,0.5,0.375,0.42857142857142855,0.4,0.72,0.0,0.3333333333333333,0.5
Eastern Michigan,0.3103448275862069,0.2653061224489796,0.6029411764705882,0.5714285714285714,0.42857142857142855,0.3448275862068966,0.4520547945205479,0.32653061224489793,0.5357142857142857,0.7142857142857143,0.14285714285714285,0.34615384615384615
Eastern Oregon,0.23076923076923078,0.35714285714285715,0.6875,0.0,0.0,0.4666666666666667,0.52,0.6666666666666666,0.5882352941176471,0.3333333333333333,0.5,0.3333333333333333
Eastern Washington,0.41904761904761906,0.42452830188679247,0.6019417475728155,0.4375,0.47368421052631576,0.3333333333333333,0.3465346534653465,0.44,0.6323529411764706,0.18181818181818182,0.6666666666666666,0.36
Elon,0.3516483516483517,0.36585365853658536,0.7666666666666667,0.2,0.6666666666666666,0.35294117647058826,0.38235294117647056,0.47058823529411764,0.7254901960784313,0.5,0.2,0.42105263157894735
Emporia State,0.3684210526315789,0.7857142857142857,0.375,0.0,0.0,0.07692307692307693,0.11764705882352941,0.5333333333333333,0.8666666666666667,0.0,0.0,0.0
Evansville,0.38571428571428573,0.43333333333333335,0.5878378378378378,0.375,0.35294117647058826,0.3274336283185841,0.34763948497854075,0.3798449612403101,0.7086092715231788,0.2916666666666667,0.5,0.3333333333333333
Fairfield,0.38461538461538464,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.23076923076923078,0.3888888888888889,0.3670886075949367,0.4,0.5754716981132075,0.6666666666666666,0.4,0.2857142857142857
