,O_All Other 3s,O_In the Paint,O_Rim,O_Corner 3 Left,O_Corner 3 Right,O_Mid 2,D_All Other 3s,D_In the Paint,D_Rim,D_Corner 3 Left,D_Corner 3 Right,D_Mid 2
Fairleigh Dickinson,0.34579439252336447,0.3939393939393939,0.52,0.0,0.3076923076923077,0.28125,0.3854166666666667,0.4027777777777778,0.7478991596638656,0.17647058823529413,0.3333333333333333,0.3076923076923077
Florida,0.3645533141210375,0.3634361233480176,0.6383399209486166,0.4406779661016949,0.325,0.37358490566037733,0.3441441441441441,0.3870967741935484,0.6082089552238806,0.40540540540540543,0.3793103448275862,0.3162393162393162
Florida A&M,0.32727272727272727,0.38461538461538464,0.5070422535211268,0.5,0.6666666666666666,0.23333333333333334,0.3793103448275862,0.29411764705882354,0.6611570247933884,0.3333333333333333,0.0,0.23529411764705882
Florida Atlantic,0.2641509433962264,0.45454545454545453,0.4583333333333333,0.6,0.6,0.2972972972972973,0.5087719298245614,0.5227272727272727,0.625,0.16666666666666666,0.14285714285714285,0.5925925925925926
Florida Gulf Coast,0.4621212121212121,0.4090909090909091,0.6170212765957447,0.6470588235294118,0.5,0.5384615384615384,0.373134328358209,0.31343283582089554,0.6814159292035398,0.3888888888888889,0.4230769230769231,0.5416666666666666
Florida International,0.25806451612903225,0.41935483870967744,0.7037037037037037,0.25,0.0,0.25,0.32432432432432434,0.55,0.7142857142857143,0.6,0.25,0.25
Florida State,0.332657200811359,0.391304347826087,0.6454005934718101,0.42574257425742573,0.26436781609195403,0.36645962732919257,0.3559928443649374,0.38242894056847543,0.5501730103806228,0.375,0.375,0.37037037037037035
Fordham,0.3148936170212766,0.3490566037735849,0.6333333333333333,0.3448275862068966,0.41379310344827586,0.3235294117647059,0.3614457831325301,0.4482758620689655,0.6299559471365639,0.2413793103448276,0.42857142857142855,0.375
Fresno State,0.36728395061728397,0.489247311827957,0.6189111747851003,0.47368421052631576,0.4117647058823529,0.37815126050420167,0.34285714285714286,0.40809968847352024,0.6357615894039735,0.4827586206896552,0.39473684210526316,0.31333333333333335
Furman,0.30578512396694213,0.5357142857142857,0.5263157894736842,0.0,0.14285714285714285,0.4,0.34177215189873417,0.5263157894736842,0.7397260273972602,0.2,0.4,0.2727272727272727
Gardner-Webb,0.29896907216494845,0.2882882882882883,0.5688073394495413,0.3333333333333333,0.375,0.29411764705882354,0.376,0.44,0.6767676767676768,0.4666666666666667,0.38461538461538464,0.36666666666666664
George Mason,0.31086142322097376,0.350253807106599,0.5728155339805825,0.3142857142857143,0.23684210526315788,0.39669421487603307,0.3814102564102564,0.4423963133640553,0.6377358490566037,0.32142857142857145,0.4,0.3368421052631579
George Washington,0.296137339055794,0.39826839826839827,0.6136363636363636,0.45,0.35714285714285715,0.43005181347150256,0.33098591549295775,0.3967391304347826,0.6378378378378379,0.5454545454545454,0.42424242424242425,0.37349397590361444
Georgetown,0.3683127572016461,0.43073047858942065,0.6361607142857143,0.24489795918367346,0.390625,0.377431906614786,0.3372093023255814,0.3819628647214854,0.6585903083700441,0.46,0.42857142857142855,0.4063745019920319
Georgia,0.3352272727272727,0.42162162162162165,0.5573394495412844,0.16666666666666666,0.34615384615384615,0.3822525597269625,0.34205933682373474,0.35714285714285715,0.5711340206185567,0.358974358974359,0.29508196721311475,0.25333333333333335
Georgia Southern,0.2857142857142857,0.3548387096774194,0.7142857142857143,0.0,0.5,0.4117647058823529,0.4032258064516129,0.3333333333333333,0.5,0.25,0.75,0.2777777777777778
Georgia State,0.4027777777777778,0.4418604651162791,0.6481481481481481,0.2222222222222222,0.3333333333333333,0.3793103448275862,0.21951219512195122,0.32653061224489793,0.6511627906976745,0.1,0.3076923076923077,0.45
Georgia Tech,0.29721362229102166,0.36827195467422097,0.6182669789227166,0.46153846153846156,0.3076923076923077,0.32916666666666666,0.3830409356725146,0.396969696969697,0.6048780487804878,0.47368421052631576,0.3064516129032258,0.31862745098039214
Gonzaga,0.36518324607329844,0.4840085287846482,0.6971830985915493,0.4225352112676056,0.36538461538461536,0.39893617021276595,0.3408408408408408,0.3754716981132076,0.5538720538720538,0.4230769230769231,0.3898305084745763,0.32234432234432236
